PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;113;0;15;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;4;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;4;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;4;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;0;9;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;5;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;0;9;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;5;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;5;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;104;5;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;52;0;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;5;4;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;104;5;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;104;5;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;7;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;52;0;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;2;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;1;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;5;4;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;11;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;104;6;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;1;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;11;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;12;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;3;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;3;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;52;0;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;5;4;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;52;1;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
