RBS;Occupancy;Time 
RBS_12;1;7040.231612023776
RBS_12;1;7073.604656390957
RBS_12;1;7095.565188595263
RBS_12;0;7140.2947871885945
RBS_12;1;7270.995718319589
RBS_12;1;7301.45552552915
RBS_12;1;7316.570742342414
RBS_12;1;7324.397502238861
RBS_12;1;7422.984914351596
RBS_12;1;7591.709834110551
RBS_12;1;7633.018855018821
RBS_12;1;7633.82994049471
RBS_12;1;7750.509852853356
RBS_12;1;7769.673079210511
RBS_12;1;7800.417047629518
RBS_12;1;7809.9395123677405
RBS_12;1;7813.5261332788905
RBS_12;1;7835.2344160723105
RBS_12;1;7853.5831638834825
RBS_12;1;7872.0851351646115
RBS_12;1;7936.8485920475205
RBS_12;1;7999.577907952011
RBS_12;1;8001.4087808012455
RBS_12;1;8027.98686911406
RBS_12;1;8049.616366093324
RBS_12;1;8080.444106170093
RBS_12;1;8098.094108351069
RBS_12;1;8111.673014940997
RBS_12;1;8197.777939902984
RBS_12;1;8231.241186164412
RBS_12;1;8235.828487154375
RBS_12;1;8243.084726374604
RBS_12;1;8262.46566693016
RBS_12;1;8437.773784008406
RBS_12;1;8440.462302025015
RBS_12;1;8474.375325672532
RBS_12;1;8488.559370000254
RBS_12;1;8506.267390928724
RBS_12;1;8529.766021748648
RBS_12;1;8578.925117106788
RBS_12;1;8597.212429663346
RBS_12;1;8601.884067529963
RBS_12;1;8610.10190806588
RBS_12;1;8661.343672968835
RBS_12;1;8688.552969976903
RBS_12;1;8702.591988510198
RBS_12;1;8705.995038379413
RBS_12;1;8743.677033341162
RBS_12;1;8861.99634578214
RBS_12;1;8925.056529144884
RBS_12;1;8947.638198572598
RBS_12;1;9004.578072307231
RBS_12;1;9085.352235610932
RBS_12;1;9122.57111475029
RBS_12;1;9134.547162472798
RBS_12;1;9137.823892921379
RBS_12;1;9145.943323115724
RBS_12;1;9152.380628962894
RBS_12;1;9273.02024273092
RBS_12;1;9299.753767575054
RBS_12;1;9303.240577821609
RBS_12;1;9389.857104787194
RBS_12;0;9425.822650888937
RBS_12;1;9501.32980533017
RBS_12;1;9553.907601418021
RBS_12;1;9567.413666970642
RBS_12;1;9600.582970865964
RBS_12;1;9631.55856249278
RBS_12;1;9642.70161428231
RBS_12;1;9646.782557573491
RBS_12;1;9656.192906432365
RBS_12;1;9718.518295432727
RBS_12;1;9723.139760854508
RBS_12;1;9785.03957001664
RBS_12;1;9993.552438823894
RBS_12;1;-1.0
RBS_13;1;2909.14016453694
RBS_13;1;2925.711275412137
RBS_13;1;2938.4663165733245
RBS_13;1;2967.520633162163
RBS_13;1;2979.3778744404904
RBS_13;1;2988.0520770862804
RBS_13;1;3000.3656021260786
RBS_13;1;3012.961096562676
RBS_13;1;3374.4925284326423
RBS_13;1;3393.9672698976306
RBS_13;0;3507.9061596339516
RBS_13;1;3761.8704471387487
RBS_13;1;3828.991387217667
RBS_13;1;3844.2430520577905
RBS_13;0;3912.806576841143
RBS_13;1;4014.81347361693
RBS_13;1;4030.0278397610914
RBS_13;1;4032.7749645860395
RBS_13;1;4092.403294963323
RBS_13;1;4118.213485069675
RBS_13;1;4138.032421607385
RBS_13;0;4366.117037667527
RBS_13;1;4983.42363175389
RBS_13;1;4990.216340088101
RBS_13;1;5003.105281415684
RBS_13;1;5018.475522721065
RBS_13;1;5031.040525883077
RBS_13;1;5047.041315555859
RBS_13;1;5060.396289180609
RBS_13;0;5221.780375213837
RBS_13;1;9425.822650888937
RBS_13;1;9479.106755657287
RBS_13;1;9487.412294099904
RBS_13;0;9501.32980533017
RBS_13;0;-1.0
RBS_14;0;-1.0
RBS_15;0;-1.0
