PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC14_VM0;0;50;0;508;0;35;0.0;0.003;0.001;0.0;5.943455292632734;0.003;278.7576810353679;
DC14_VM0;0;50;0;508;0;36;0.0;0.003;0.001;0.0;5.943455292632734;0.003;284.1626398070728;
DC14_VM0;0;50;0;508;0;37;0.0;0.003;0.001;0.0;5.943455292632734;0.003;289.8202988848954;
DC14_VM0;0;50;0;508;0;38;0.0;0.003;0.001;0.0;5.943455292632734;0.003;295.52553146883275;
DC14_VM0;0;50;0;508;0;39;0.0;0.003;0.001;0.0;5.943455292632734;0.003;300.9735657749468;
DC14_VM0;0;50;0;508;0;40;0.0;0.003;0.001;0.0;5.943455292632734;0.003;306.5372126873775;
DC14_VM0;0;50;0;508;0;41;0.0;0.003;0.001;0.0;5.943455292632734;0.003;312.13841484256545;
DC14_VM0;0;50;0;508;0;42;0.0;0.003;0.001;0.0;5.943455292632734;0.003;317.8150494401062;
DC14_VM0;0;50;0;508;0;43;0.0;0.003;0.001;0.0;5.943455292632734;0.003;323.27160031712157;
DC14_VM0;0;50;0;508;0;44;0.0;0.003;0.001;0.0;5.943455292632734;0.003;328.678453597921;
DC14_VM0;0;50;0;508;0;45;0.0;0.003;0.001;0.0;5.943455292632734;0.003;334.3217239118761;
DC14_VM0;0;50;0;508;0;46;0.0;0.003;0.001;0.0;5.943455292632734;0.003;340.1488920260214;
DC14_VM0;0;50;0;508;0;47;0.0;0.003;0.001;0.0;5.943455292632734;0.003;345.69597612001786;
DC14_VM0;0;50;0;508;0;48;0.0;0.003;0.001;0.0;5.943455292632734;0.003;351.30840041362285;
DC14_VM0;0;50;0;508;0;49;0.0;0.003;0.001;0.0;5.943455292632734;0.003;356.8093595555443;
DC14_VM0;0;50;0;508;0;50;0.0;0.003;0.001;0.0;5.943455292632734;0.003;362.4261650522184;
DC14_VM0;0;50;0;508;0;51;0.0;0.003;0.001;0.0;5.943455292632734;0.003;368.1531086206651;
DC14_VM0;0;50;0;508;0;52;0.0;0.003;0.001;0.0;5.943455292632734;0.003;373.83228402032415;
DC14_VM0;0;50;0;508;0;53;0.0;0.003;0.001;0.0;5.943455292632734;0.003;379.71271451483415;
